Ticker,Half_Life
AAPL,1
ABBV,1
ABT,1
ACN,1
ADI,1
AMAT,1
AMD,1
AMGN,1
AMZN,1
ANET,1
APH,1
APP,1
AVGO,1
AXP,1
BA,1
BAC,1
BKNG,1
BLK,1
BMY,1
BRK-B,1
BX,1
C,1
CAT,1
CB,1
COF,1
COP,1
COST,1
CRM,1
CSCO,1
CVX,1
DE,1
DHR,1
DIS,1
ETN,1
GE,1
GEV,1
GILD,1
GOOG,1
GOOGL,1
GS,1
HCA,1
HD,1
HON,1
IBKR,1
IBM,1
INTC,1
ISRG,1
JNJ,1
JPM,1
KLAC,1
KO,1
LIN,1
LLY,1
LMT,1
LOW,1
LRCX,1
MA,1
MCD,1
MCK,1
MDT,1
META,1
MRK,1
MS,1
MSFT,1
MU,1
NEE,1
NEM,1
NFLX,1
NVDA,1
ORCL,1
PANW,1
PEP,1
PFE,1
PG,1
PGR,1
PH,1
PLD,1
PLTR,1
PM,1
QCOM,1
RTX,1
SCHW,1
SPGI,1
SYK,1
T,1
TJX,1
TMO,1
TMUS,1
TSLA,1
TXN,1
UBER,1
UNH,1
UNP,1
V,1
VRTX,1
VZ,1
WELL,1
WFC,1
WMT,1
XOM,1
